,Unnamed: 0,PSU,contraceptive_No,contraceptive_Yes,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,dt_Jointly,dt_rest,edu_noedu,edu_primary,edu_secondary,edu_higher,rel_Hindu,rel_nonHindu,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,caste_OBC,caste_SC,caste_ST,caste_Others,residence_rural,residence_urban,counselling_no,counselling_yes,parity_0,parity_1_2,parity_3,sum(mediaFP),outlier
2348,2349,334070,10,9,1,1,6,4,3,1,3,9,10,16,0,2,1,6,13,0,1,9,6,3,17,0,0,2,19,0,9,10,4,3,12,1,No
2349,2350,334071,15,7,1,4,3,3,4,5,2,9,13,16,1,5,0,22,0,3,8,5,4,2,17,5,0,0,22,0,19,3,2,8,12,0,No
2350,2351,334072,13,3,0,3,2,4,3,0,4,4,12,9,1,5,1,13,3,1,5,4,6,0,13,2,0,1,16,0,14,2,1,6,9,2,No
2351,2352,334074,10,8,0,2,7,4,2,2,1,11,7,2,4,10,2,16,2,2,6,4,6,0,12,1,0,5,18,0,15,3,2,3,13,0,No
2352,2353,334075,16,5,2,6,3,3,3,2,2,5,16,14,2,5,0,21,0,10,9,2,0,0,9,5,0,7,21,0,19,2,2,7,12,0,No
2353,2354,334076,11,7,1,3,0,3,7,2,2,12,6,8,0,9,1,1,17,0,0,0,11,7,11,1,0,6,0,18,18,0,2,4,12,4,No
2354,2355,334077,6,12,0,2,4,7,2,3,0,12,6,7,4,6,1,14,4,2,4,5,2,5,7,6,0,5,18,0,11,7,0,7,11,0,No
2355,2356,334078,16,2,0,1,7,5,1,2,2,3,15,11,6,0,1,10,8,7,3,5,3,0,13,5,0,0,18,0,12,6,0,5,13,0,No
2356,2357,334080,12,9,0,3,5,4,4,0,5,1,20,11,3,5,2,21,0,1,5,7,1,7,8,9,0,4,21,0,14,7,1,8,12,0,No
2357,2358,334081,10,4,1,2,2,2,3,4,0,6,8,8,2,4,0,14,0,11,2,1,0,0,12,0,0,2,14,0,10,4,2,3,9,0,No
2358,2359,334082,20,1,2,5,5,2,2,3,2,0,21,17,3,1,0,19,2,16,2,3,0,0,11,7,1,2,21,0,19,2,3,7,11,2,No
2359,2360,334083,12,6,1,6,5,1,0,2,3,6,12,7,1,9,1,16,2,4,7,6,1,0,9,4,4,1,18,0,11,7,4,6,8,3,No
2360,2361,334084,19,2,1,0,6,5,6,1,2,3,18,13,2,4,2,21,0,7,6,6,2,0,15,4,2,0,21,0,13,8,1,3,17,0,No
2361,2362,334086,27,0,0,5,7,3,3,7,2,0,27,16,2,8,1,26,1,7,7,7,6,0,20,2,2,3,27,0,18,9,2,7,18,2,No
2362,2363,334089,15,6,2,7,3,6,0,1,2,7,14,11,1,9,0,20,1,3,13,4,0,1,11,9,0,1,21,0,6,15,2,8,11,1,No
2363,2364,334092,13,12,0,5,3,6,5,2,4,13,12,2,2,15,6,25,0,0,0,3,14,8,25,0,0,0,0,25,18,7,4,9,12,5,No
2364,2365,334093,12,9,0,4,4,3,6,2,2,16,5,1,8,12,0,20,1,7,4,5,2,3,1,3,0,17,21,0,16,5,1,7,13,1,No
